Conference;Year;Author1;Author2;Author3;Author4;Author5;Author6;Author7;Author8;Author9;Author10;Author11;Author12;Author13;Author14;Author15;Title;specifier1;qualifier1;field1;Type1;Proprietary1;Specifier2;Qualifier2;Field2;Type2;Proprietary2;Specifier3;Qualifier3;Field3;Type3;Proprietary3;Specifier4;Qualifier4;Field4;Type4;Proprietary4;Specifier5;Qualifier5;Field5;Type5;Proprietary5;Specifier6;Qualifier6;Field6;Type6;Proprietary6;Specifier7;Qualifier7;Field7;Type7;Proprietary7;ArtifactEvaluation;ArtifactwasAvailable;Artifactisavailable;
ECRTS;2020;Nicolas Bellec;Simon Rokicki;Isabelle Puaut;;;;;;;;;;;;;Attack Detection Through Monitoring of Timing Deviations in Embedded real-Time Systems;malardalen;named;;benchmark;no;polybench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Daniel Bristot de Oliveira;Daniel Casini;Romulo Silva de Oliveira;Tommaso Cucinotta;;;;;;;;;;;;Demystifying the Real-Time Linux Scheduling Latency;cyclic_test;named;;benchmark;no;perf rts1;named;;benchmark;no;phoronix;named;;benchmark;no;openssl;named;;software;no;fio;named;;benchmark;no;stressng;named;;benchmark;no;build-linux;named;;benchmark;no;TRUE;TRUE;TRUE;
ECRTS;2020;Nathan Otterness;James H. Anderson;;;;;;;;;;;;;;AMD GPUs as an Alternative to NVIDIA for Supporting Real-Time Workloads;;custom;neural network;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Alexander Zuepke;;;;;;;;;;;;;;;Turning Futexes Inside-Out: Efficient and Deterministic User Space Synchronization Primitives for Real-Time Systems with IPCP;;custom;;microbenchmark;;rodinia;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Francesco Restuccia;Marco Pagani;Alessandro Biondi;Mauro Marinoni;Giorgio Buttazzo;;;;;;;;;;;Modeling and Analysis of Bus Contention for Hardware Accelerators in PFGA SoCs;;custom;;axi message generator;;randfixsum;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2020;Nathanael Sensfelder;Julien Brunnel;Claire Pagetti;;;;;;;;;;;;;On How To Identify Cache Coherence: Case of the NXP QorIQ T4240;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Sims Hill Osborne;James H. Anderson;;;;;;;;;;;;;;Simultaneous Multithreading and Hard real Time: Can It be Safe?;taclebench;named;;benchmark;no;;custom;;taskset generator;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2020;Xavier Palomo;Sylvain Girbal;Jaume Abella;Laurent Rioux;Mikel Fernandez;Enrico Mezzetti;Francisco J. Cazorla;;;;;;;;;Tracing Hardware Monitors in the GR712RC Multicore Platform: Challenges and Lessons Learnt from a Space Case Study;;custom;;microbenchmark;;;custom;baremetal;case study;;;custom;rtems;case study;;;custom;aerospace;case study;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Mohamed Hassan;;;;;;;;;;;;;;;Discriminative Coherence: Balancing Performance and Latency Bounds in Data-Sharing Multi-Core Real-Time Systems;splash3;named;;benchmark;no;autobench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Anais Finzi;Luxi Zhao;;;;;;;;;;;;;;Impact of AS6802 Synchronization Protocol on Time-Triggered and Rate-constrained Traffic;;custom;networking;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Lea Schonberger;Kuan-Hsun Chen;Hazem youssef;Christian Wietfeld;Jian-Jia Chen;Georg von der Bruggen;Bejamin Sliwa;Aswin Karthik Ramachandran Venkatapathy;Michael ten Hompel;;;;;;;Offloading Safety- and Mission-Critical Tasks via Unreliable Connections;uunifast;named;;taskset generator;no;robotnik rb1;named;robotics;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Romain Jacob;Licong Zhang;Marco Zimmerling;Jan Beutel;Samarjit Chakraborty;lothar Thiele;;;;;;;;;;The Time-Triggered Wireless Architecture;flocklab;named;;testbed;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2020;Alix Munier Kordon;Ning Tang;;;;;;;;;;;;;;Evaluation of the Age Latency of a Real-Time Communicating System Using the LET Paradigm;rosace;named;avionics;case study;no;rwabff;named;automotive;specification;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Martina Maggio;Arne Hamann;Eckart Mayer-John;Dirk Ziegenbein;;;;;;;;;;;;Control-System Stability Under Consecutive Deadline Misses Constrainst;;custom;controller;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Sergey Bozhko;Bjorn Brandenburg;;;;;;;;;;;;;;Abstract Response-Time Analysis: A Formal foundation for the Busy-Window Principle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2020;Mohamed hassan;Rodolfo Pellizzoni;;;;;;;;;;;;;;Analysis of memory-Contention in Heterogeneous COTS MPSoCs;autobench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2020;Anam Farrukh;Richard West;;;;;;;;;;;;;;smARTflight: An Environmentally-Aware Adaptive Real-Time Flight Management System;clean flight;named;uav;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Michael Platzer;Peter Puschner;;;;;;;;;;;;;;Vicuna: A Timing-Predictable RISC-V Vector Coprocessor for Scalable Parallel Computation;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Denis Hoornaert;Shahin Roozkhosh;Renato Mancuso;;;;;;;;;;;;;A Memory Scheduling Infrastructure for Multi-Core Systems with Re-Programmable Logic;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Alejandro Serrano-Cases;Juan M. Reina;Jaume Abella;Enrico Mezzetti;Francisco J. Cazorla;;;;;;;;;;;Leveraging Hardware QoS to Control Contention in the Xilinx Zynq Ultrascale+ MPSoC;;custom;aerospace;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Golsana Ghaemi;Dharmesh Tarapore;Renato Mancuso;;;;;;;;;;;;;Governing with Insights: Towards Profile-Driven Cache Management of Black-Box Applications;sdvbs;named;;benchmark;no;;custom;;microbenchmark;;isolbench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Yilian Ribot Gonzalez;Geoffrey Nelissen;Eduardo Tovar;;;;;;;;;;;;;nDimNoC: Real-Time D-Dimensional NoC;;custom;;network traffic generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Catherine E. Nemitz;Shai Caspin;James H. Anderson;Bryan Ward;;;;;;;;;;;;Light Reading: Optimzing Reader/Writer Locking for Read-Dominant Real-Time Workloads;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2021;Robert Davis;David Griffin;Iain Bate;;;;;;;;;;;;;Schedulability Analysis for Multi-Core Systems Accounting for Resource Stress and Sensitivity;dirichlet-rescale;named;;taskset generator;no;rolls-royce engine controller;named;;specification;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Quigqiang He;Mingsong Lv;Nan Guan;;;;;;;;;;;;;Respons Time Bounds for DAG Tasks with Arbitrary Intra-Task Priority Assignment;erdos-renyi;named;;dag generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Sanjoy Baruah;Pontus Ekberg;;;;;;;;;;;;;;Graceful Degredation in Semi-Clairvoyant Scheduling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Niklas Ueter;Mario Gunzel;Georg von der Bruggen;Jian-Jia Chen;;;;;;;;;;;;Hard Real-Time Stationary GANG-Scheduling;uunifast;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Shareef Ahmed;James H. Anderson;;;;;;;;;;;;;;Tight Tardiness Bounds for Pseudo-Harmonic Tasks Under Global-EDF-Like Schedulers;;custom;;taskset generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Sanjoy Baruah;Alberto Marchetti-Spaccamela;;;;;;;;;;;;;;Feasibility Analysis of Conditional DAG Tasks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Pietro Fara;Gabriele Serra;Alessandro Biondi;Ciro Donnarumma;;;;;;;;;;;;Scheduling Replica Voting in Fixed-Priority Real-Time Systems;randfixsum;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Marc Boyer;Pierre Roux;Hugo Daigmorte;David Puechmaille;;;;;;;;;;;;A Residual Service Curve of Rate-Latency Server Used by Sporadic Flows Computable in Quadratic Time for Network Calculus;;custom;;server workload generator;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2021;Nils Vreman;Anton Cervin;Martina Maggio;;;;;;;;;;;;;Stability and Performance Analysis of Control Systems Subject to Bursts of Deadline Misses;;custom;controller;case study;no;;referenced;controller;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2021;Filip Markovic;Alessandro Vittorio Papadopoulos;Thomas Nolte;;;;;;;;;;;;;On the Convolution Efficiency for Probabilistic Analysis of Real-Time Systems;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2022;Seonyeong Heo;Shinnung Jeong;Hanjun Kim;;;;;;;;;;;;;RTScale: Sensitivity-Aware Adaptive Image Scaling for Real-Time Object Detection;;custom;object detection;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2022;Iryna De Albuquerque Silva;Thomas Carle;Adrien Gauffriau;Claire Pagetti;;;;;;;;;;;;ACETONE: Predictable Programming Framework for ML Applications in Safety-Critical Systems;;custom;neural network;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2022;Axel Brando;Isabel Serra;Enrico Mezzetti;Jaume Abella;Francisco J. Cazorla;;;;;;;;;;;Using Quantile Regression in Neural Networks for Contention Prediction in Multicore Processors;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2022;Pierre Roux;Sophie Quinton;Marc Boyer;;;;;;;;;;;;;A Formal Link Between Response Time Analysis and Network Calculus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2022;Kuan-Hsun Chen;Mario Gunzel;Boguslaw Jablkowski;Markus Buschhoff;Jian-Jia Chen;;;;;;;;;;;Unikernel-Based Real-Time Virtualization Under Deferrable Servers: Analysis and Realization;uunifast;named;;taskset generator;no;;custom;udp;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2022;Victor Pollex;Frank Slomka;;;;;;;;;;;;;;A Mathematical Comparison Between Response-Time Analysis and Real-time Calculus for Fixed-Priority Preemptive Scheduling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2022;Anais Finzi;Ramon Serna Oliver;;;;;;;;;;;;;;General Framework for Routing, Scheduling and Formal Timing Analysis in Deterministic Time-Aware Networks;nasa orion;named;aerospace;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2022;Remi Meunier;Thomas Carle;Thierry Monteil;;;;;;;;;;;;;Correctness and Efficiency Criteria for the Multi-Phase Task Model;rosace;named;avionics;software;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2022;Zelin Tong;Shareef Ahmed;James H. Anderson;;;;;;;;;;;;;Overrun-Resilient Multiprocessor Real-time Locking;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2022;Matheus Ladeira;Emmanuel Grolleau;Fabien Benneval;Fatier Hattenberger;Yassine Ouhammou;Yuri Herouard;;;;;;;;;;Scheduling Offset-Free Systems Under FIFO Priority Protocol;dirichlet-rescale;named;;taskset generator;no;paparazzi;named;uav;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2022;Geoffrey Nelissen;Joan Marce I Igual;Mitra Nasri;;;;;;;;;;;;;Response-Time Analysis for non-Preemptive Periodic Moldable Gang Tasks;randfixsum;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2022;Federico Aromolo;Alessandro Biondi;Geoffrey Nelissen;;;;;;;;;;;;;Response-Time Analysis for Self-Suspending Tasks under EDF Scheduling;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2022;Alan Burns;Cliff B. Jones;;;;;;;;;;;;;;An Approach to Formally Specifying the Behaviour of Mixed-Criticality Systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2022;Marco Barletta;Marcello Cinque;Luigi De Simone;Raffaele Della Corte;;;;;;;;;;;;Achieving Isolation in Mixed-Criticality Industrial Edge Systems with Real-Time Containers;;custom;;microbenchmark;;stress-ng;named;;benchmark;no;randfixsum;named;;taskset generator;no;rt-app;named;;benchmark;no;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2022;Reza Mirosanlou;Mohamed Hassan;Rodolfo pellizzoni;;;;;;;;;;;;;Paralleism-Aware High-Performance Cache Coherence with Tight Latency Bounds;splash3;named;;benchmark;no;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2022;Mohamed Hossam;Mohamed Hassan;;;;;;;;;;;;;;Predictably and Efficiently Integrating COTS Cache Coherence in Real-Time Systems;splash3;named;;benchmark;no;autobench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2022;Nicolas Bellec;Guillaume Hiet;Simon Rokicki;Frederic Tronel;Isabelle Puaut;;;;;;;;;;;RT-DFI: Optimizing Data-Flow Integrity for Real-Time Systems;taclebench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2022;Marco Maida;Sergey Bozhko;Bjorn Brandenburg;;;;;;;;;;;;;Foundational Response-Time Analysis as Explainable Evidence of Timeliness;dirichlet-rescale;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2022;Sergi Vilardell;Isabel Serra;Enrico Mezzetti;Jaume Abella;Francisco J. Cazorla;Joan del Castillo;;;;;;;;;;Using markov’s Inequality with Power-of-k Function for Probabilistic WCET Estimation;ects railway;named;railway;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Timothy Bourke;Vincent Bregeon;Marc Pouzet;;;;;;;;;;;;;Scheduling and Compiling Rate-Synchronous Programs with End-to-End Latency Constraints;rosace;named;avionics;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Sanjoy Baruah;Pontus Ekberg;;;;;;;;;;;;;;Towards Efficient Exlpainability of Schedulability Properties in Real-Time Systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Kunal Agrawal;Sanjoy Baruah;Michael A. Bender;Alberto Marchetti-Spaccamela;;;;;;;;;;;;The Safe and Effective Use of Low-Assurance Predictions in Safety-Critical Systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Ahsan Saeed;Denis Hoornaert;Dakshina Dasari;Dirk Ziegenbein;Daniel Mueller-Gritschneder;Ulf Schlichtmann;Andreas Gerstlauer;Renato Mancuso;;;;;;;;Memory Latency Distribution-Driven Regulation for Temporal Isolation in MPSoCs;sdvbs;named;;benchmark;no;daphne;named;;benchmark;no;isolbench;named;;benchmark;no;;custom;;microbenchmark;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Sergio Garcia-Esteban;Alejandro Serrano-Cases;Jaume Abella;Enrico Mezzetti;Francisco J. Cazorla;;;;;;;;;;;Quasi Isolation QoS Setups to Control MPSoC Contetion in Integrated Software Architectures;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Eva Dengler;Phillip Raffeck;Simon Schuster;Peter Wagemann;;;;;;;;;;;;FusionClock: Energy-Optimal Clock-Tree Reconfigurations for Energy-Constrained Real-Time Systems;taclebench;named;;benchmark;no;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2023;Abderaouf N Amalou;Elisa Fromont;Isabelle Puaut;;;;;;;;;;;;;CAWET: Context-Aware Worst-Case Execution Time Estimation Using Transformers;codenet;named;;dataset;no;the algorithms;named;;dataset;no;mibench;named;;benchmark;no;taclebench;named;;benchmark;no;polybench;named;;benchmark;no;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Ashikahmed Bhuiyan;Mohammad Pivezhandi;Zhishan Guo;Jing Li;Venkata Modekurthy;Abusayeed Saifullah;;;;;;;;;;Precise Scheduling of DAG Tasks with Dynamic Power Management;mcfs li;named;;dag generator;no;barcelona openmp;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Gerlando Sciangula;Daniel Casini;Alessandro Biondi;Claudio Scordino;Marco Di Natale;;;;;;;;;;;Bounding the Data-Delivery Latency of DDS Messages in Real-Time Applications;waters 2019;named;automotive;industrial challenge;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Mario Gunzel;Harun Teper;Kuan-Hsun Chen;Georg von der Bruggen;Jian-Jia Chen;;;;;;;;;;;On the Equivalence of Maximum Reaction Time and Maximum Data Age for Cause-Effect Chains;rwabff;named;automotive;specification;no;;custom;ros2;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Tim Rheinfels;Maximilian Gaukler;Peter Ulbrich;;;;;;;;;;;;;A New Perspective on Criticality: Efficient State Abstraction and Run-Time Monitoring of Mixed-Criticality Real-Time Control Systems;;custom;controller;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2023;Raffaele Zippo;Paul Nikolaus;Giovanni Stea;;;;;;;;;;;;;IsoSpeed: Improving (min,+) Convolution by Exploiting (min,+)/(max,+) Isomorphism;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2023;Weifan chen;Ivan Izhbirdeev;Denis hoornaert;Shahin Roozkhosh;Patrick Carpanedo;Sanskriti Sharma;Renato Mancuso;;;;;;;;;Low-Overhead Online Assessment of Timely Progress as a Systems Commodity;sdvbs;named;;benchmark;no;isolbench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Aleksandar Matovic;Rafal Graczyk;Feredico Lucchetti;Marcus Volp;;;;;;;;;;;;Consensual Resilient Control: Stateless Recovery of Stateful Controllers;;custom;controller;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Pegdwende Romaric nikiema;Angeliki Kritikakou;Marcello Traiola;Olivier Sentieys;;;;;;;;;;;;Impact of Transient Faults on Timing behaviour and Mitigation with Near-zero WCET Overhead;taclebench;named;;benchmark;no;mibench;named;;benchmark;no;axbench;named;;benchmark;no;polybench;named;;benchmark;no;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Shareef Ahmed;James H. Anderson;;;;;;;;;;;;;;Optimal Multiprocessor Locking Protocols Under FIFO Scheduling;schedcat;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Shorouk Abdelhalim;Danesh Germchi;Mohamed Hossam;Rodolfo Pellizzoni;Mohamed Hassan;;;;;;;;;;;A Tight Holistic Memory Latency Bound Through Coordinated Management of Memory Resources;spec cpu;named;;benchmark;no;isolbench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Federico Aromolo;Geoffrey Nelissen;Alessandro Biondi;;;;;;;;;;;;;Replication-Based Scheduling of Parallel Real-Time Tasks;uunifast;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2023;Sebastian Altmeyer;Etienne Andre;Silvano Dal Zilio;Loic Fejoz;Michael Gonzalez Harbour;Susanne Graf;J. Javier Gutierrez;Rafik Henia;Didie Le Botlan;Giuseppe Lipari;Julio Medina;Nicolas Navet;Sophie Quinton;Juan M. Rivas;Youcheng Sun;From FMTV to WATERS: Lessons Learned from the First Verification Challenge at ECRTS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2024;Anam Farrukh;Richard West;;;;;;;;;;;;;;JuMP2start: Time-Aware Stop-Start Technology for a Software-Defined Vehicle System;;custom;automotive;case study;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Michele Castrovilli;Enrico Bini;;;;;;;;;;;;;;SlackCheck: A Linux Kernel Module to Verify Temporal Properties of a Task Schedule;;custom;;microbenchmark;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Pourya Gohari;Jeroen Voeten;Mitra Nasri;;;;;;;;;;;;;Reachability-Based Response-Time Analysis of Preemptive Tasks Under Global Scheduling;uunifast-discard;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Mario Gunzel;Georg von der Bruggen;Jian-Jia Chen;;;;;;;;;;;;;Tighter Worst-Case Response Time Bounds for Jitter-Based Self-Suspension Analysis;dirichlet-rescale;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Daniel Oliveira;Weifan Chen;Sandro Pinto;Renato Mancuso;;;;;;;;;;;;Shared Resource Contention in MCUs: A Reality Check and the Quest for Timeliness;embench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Francesco Paladino;Alessandro Biondi;Enrico Bini;Paolo Pazzaglia;;;;;;;;;;;;Optimizing Per-Core Priorities to Minimize End-To-End Latencies;rwabff;named;automotive;specification;no;uunifast;extended;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Daniele Ottaviano;Francesco Ciraolo;Renato Mancuso;Marcello Cinque;;;;;;;;;;;;The Omnivisor: A Real-Time Static Partitioning Hypervisor Extension for Heterogeneous Core Virtualization over MPSoCs;;custom;;microbenchmark;;isolbench;named;;benchmark;no;taclebench;named;;benchmark;no;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2024;Hayate Toba;Takuya Azumi;;;;;;;;;;;;;;Deadline Miss Early Detection Method for DAG Tasks Considering Variable Execution Time;rd-gen;named;;dag generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Damien Guidolin-Pina;Marc Boyer;;;;;;;;;;;;;;Switch Between Left and Right Continuity in Network Calculus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Eva Dengler;Peter Wagemann;;;;;;;;;;;;;;CREPE: Clock-Reconfiguration-Aware Preemption Control in Real-Time Systems with Devices;uunifast;extended;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2024;Shareef Ahmed;James H. Anderson;;;;;;;;;;;;;;Open Problem Resolved: The “Two” In Existing Multiprocessor PI-Blocking Bounds is Fundamental;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Sizhe Liu;Rohan Wagle;James H. Anderson;Ming Yang;Chi Zhang;Yunhua Li;;;;;;;;;;Autonomy Today: Many Delay-Prone Black Boxes;we ride;;automotive;case study;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2024;Mohammad Fakhruddin Babar;Monowar Hasan;;;;;;;;;;;;;;DeepTrustRT: Confidential Deep Neural Inference Meets Real-Time;;custom;neural network;case study;;ardupilot;named;uav;case study;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Yidi Wang;Cong Liu;Daniel Wong;Hyoseung Kim;;;;;;;;;;;;GCAPS: GPU Context-Aware Preemptive Priority-Based Scheduling for Real-Time Tasks;uunifast;named;;taskset generator;no;cuda samples;named;gpu;benchmark;no;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Syed W. Ali;Zelin Tong;Joseph Goh;James H. Anderson;;;;;;;;;;;;Predictable GPU Sharing in Component-Based Real-Time Systems;;custom;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TRUE;TRUE;
ECRTS;2024;Srinidhi Srinivasan;Geoffrey Nelissen;Reinder J. Bril;Nirvana Meratina;;;;;;;;;;;;Analysis of TSN Time-Aware Shapers Using Schedule Abstraction Graphs;randfixsum;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
ECRTS;2024;Binqi Sun;Tomasz Kloda;Marco Caccamo;;;;;;;;;;;;;Response Time Analysis for Fixed-Priority Preemptive Uniform Multiprocessor Systems;dirichlet-rescale;named;;taskset generator;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;FALSE;FALSE;
